cup_de;cup_en;track_de;track_en;game
Glückskatzen;Lucky Cat;Wolkenpiste;Sky Garden;GBA
Glückskatzen;Lucky Cat;Ninja-Dojo;Ninja Hideaway;Switch
Rüben;Turnip;New-York-Speedway;New York Minute;Tour
Rüben;Turnip;Marios Piste 3;Mario Circuit 3;SNES
Rüben;Turnip;Kalimari-Wüste;Kalimari Desert;N64
Rüben;Turnip;Waluigi-Flipper;Waluigi Pinball;DS
Propeller;Propeller;Sydney-Spritztour;Sydney Sprint;Tour
Propeller;Propeller;Schneeland;Snow Land;GBA
Propeller;Propeller;Pilz-Schlucht;Mushroom Gorge;Wii
Propeller;Propeller;Eiscreme-Eskapade;Sky-High Sundae;Switch
Fels;Rock;London-Tour;London Loop;Tour
Fels;Rock;Buu-Huu-Tal;Boo Lake;GBA
Fels;Rock;Gebirgspfad;Alpine Pass;3DS
Fels;Rock;Blätterwald;Maple Treeway;Wii
Mond;Moon;Pflaster von berlin;Berlin Byways;Tour
Mond;Moon;Peachs Schlossgarten;Peach Gardens;DS
Mond;Moon;Bergbescherung;Merry Mountain;Switch
Mond;Moon;Regenbogen-Boulevard(3DS);Rainbow Road(3DS);3DS
Frucht;Fruit;Ausfahrt Amsterdam;Amsterdam Drift;Tour
Frucht;Fruit;Flussufer-Park;Riverside Park;GBA
Frucht;Fruit;DK Skikane;DK's Snowboard Cross;Wii
Frucht;Fruit;Yoshis Eiland;Yoshi's Island;Switch
Bumerang;Boomerang;Bangkok-Abendrot;Bangkok Rush;Tour
Bumerang;Boomerang;Marios Piste(DS);Mario Circuit(DS);DS
Bumerang;Boomerang;Waluigi-Arena;Waluigi Stadium;GCN
Bumerang;Boomerang;Überholspur Singapur;Singapore Speedway;Tour
Feder;Feather;Athen auf Abwegen;Athens Dash;Tour
Feder;Feather;Daisys Dampfer;Daisy Cruiser;GCN
Feder;Feather;Mondblickstraße;Noonview highway;Wii
Feder;Feather;Bad-Parcours;Squeaky Clean Sprint;Switch
Doppelkirschen;Cherry;Los-Angeles-Strandpartie;Los Angeles Laps;Tour
Doppelkirschen;Cherry;Sonnenuntergangs-Wüste;Sunset Wilds;GBA
Doppelkirschen;Cherry;Koopa-Kap;Koopa Cape;Wii
Doppelkirschen;Cherry;Vancouver-Wildpfad;Vancouver Velocity;Tour
Eichel;Acorn;Rom-Rambazamba;Rome Avanti;Tour
Eichel;Acorn;DK Bergland;DK Mountain;GCN
Eichel;Acorn;Daisys Piste;Daisy Circuit;Wii
Eichel;Acorn;Piranha-Pflanzen-Bucht;Piranah Plant Cove;Switch
Stachi;Spiny;Standrundfahrt Madrid;Madrid Drive;Tour
Stachi;Spiny;Rosalinas Eisplanet;Rosalina's Ice World;3DS
Stachi;Spiny;Bowsers Festung 3;Bowser Castle 3;SNES
Stachi;Spiny;Regenbogen-Boulevard(Wii);Rainbow Road(Wii);Wii
